Build ./bin/ssvnode
Build ./config/config.yaml
Build 
Command --config=./config/config.yaml --share-config=./config/share1.yaml
Running node on address: 84.110.33.146)
2022-09-08T14:44:24.215858Z	[35mDEBUG[0m	goeth/goETH.go:407	unsupported contract event was received, skipping	{"app": "SSV-Node:v0.2.1-rc.5-112-g788b6491", "component": "eth1GoETH", "address": "0xb9e155e65B5c4D66df28Da8E9a0957f06F11Bc04", "eventName": "FundsDeposit", "block": 7553788, "txHash": "0xc9efac14c61a98a9c56858a46a4755ad246bf7dcbfe824862201d0b2b2131636"}
2022-09-08T14:44:24.216246Z	[35mDEBUG[0m	goeth/goETH.go:342	event logs were received and parsed successfully	{"app": "SSV-Node:v0.2.1-rc.5-112-g788b6491", "component": "eth1GoETH", "address": "0xb9e155e65B5c4D66df28Da8E9a0957f06F11Bc04", "fromBlock": 7553788, "results": 5, "successCount": 5}
2022-09-08T14:44:24.216283Z	[35mDEBUG[0m	goeth/goETH.go:295	finished syncing registry contract	{"app": "SSV-Node:v0.2.1-rc.5-112-g788b6491", "component": "eth1GoETH", "address": "0xb9e155e65B5c4D66df28Da8E9a0957f06F11Bc04", "total events": 5, "total success": 5}
2022-09-08T14:44:24.218011Z	[34mINFO[0m	eth1/sync.go:100	upgrading sync offset	{"app": "SSV-Node:v0.2.1-rc.5-112-g788b6491", "component": "operatorNode", "syncOffset": 7553809}
2022-09-08T14:44:24.218071Z	[34mINFO[0m	operator/node.go:163	manage to sync contract events	{"app": "SSV-Node:v0.2.1-rc.5-112-g788b6491", "component": "operatorNode"}
2022-09-08T14:44:24.505345Z	[34mINFO[0m	operator/node.go:172	ETH1 sync history stats	{"app": "SSV-Node:v0.2.1-rc.5-112-g788b6491", "component": "operatorNode", "validators count": 1667, "operators count": 500}
2022-09-08T14:44:24.505406Z	[35mDEBUG[0m	goeth/goETH.go:180	streaming smart contract events	{"app": "SSV-Node:v0.2.1-rc.5-112-g788b6491", "component": "eth1GoETH", "address": "0xb9e155e65B5c4D66df28Da8E9a0957f06F11Bc04"}
2022-09-08T14:44:24.717897Z	[35mDEBUG[0m	goeth/goETH.go:211	subscribed to results of the streaming filter query	{"app": "SSV-Node:v0.2.1-rc.5-112-g788b6491", "component": "eth1GoETH", "address": "0xb9e155e65B5c4D66df28Da8E9a0957f06F11Bc04"}
2022-09-08T14:44:24.717944Z	[34mINFO[0m	p2p/p2p.go:128	starting p2p network service	{"app": "SSV-Node:v0.2.1-rc.5-112-g788b6491", "who": "p2pNetwork", "selfPeer": "16Uiu2HAm4qJW7GbGAUn96U3wyxkBHC5zmecq8eVNDL9wDcaKoLz3"}
2022-09-08T14:44:24.718097Z	[34mINFO[0m	operator/node.go:126	All required services are ready. OPERATOR SUCCESSFULLY CONFIGURED AND NOW RUNNING!	{"app": "SSV-Node:v0.2.1-rc.5-112-g788b6491", "component": "operatorNode"}
2022-09-08T14:44:24.995538Z	[34mINFO[0m	validator/controller.go:338	starting validators setup...	{"app": "SSV-Node:v0.2.1-rc.5-112-g788b6491", "component": "validatorsController", "shares count": 1}
2022-09-08T14:44:24.995632Z	[35mDEBUG[0m	msgqueue/queue.go:63	queue configuration	{"app": "SSV-Node:v0.2.1-rc.5-112-g788b6491", "pubKey": "855589217256062059957bc5535e027d751683d756f593827fb1575e714a24f682e80891b73021c06347ce604c2e1271", "node_id": 1, "role": "ATTESTER", "read mode": false, "who": "msg_q", "indexers": 3}
2022-09-08T14:44:24.995680Z	[35mDEBUG[0m	validator/validator.go:85	new validator instance was created	{"app": "SSV-Node:v0.2.1-rc.5-112-g788b6491", "pubKey": "855589217256062059957bc5535e027d751683d756f593827fb1575e714a24f682e80891b73021c06347ce604c2e1271", "node_id": 1, "operators ids": ["9d5df9e77cc1fa1aab54348efff6d06256bc7c01c4dd384c88748803d56f2292", "2ea88c262d0d826dc51a66cdae2435355d9dc751e251cf8752043f6a19734f50", "99442c4fe6f8fc11a3a8878099bf1bdf48c627d08fff31ba7ef49df1197768cd", "29ad5e618d03708749be5d355494298234f65ac531717a00059e6f1e04c498bc"]}
