Build ./bin/ssvnode
Build ./config/config.yaml
Build 
Command --config=./config/config.yaml --share-config=./config/share2.yaml
Running node on address: 84.110.33.146)
2022-09-14T13:48:06.298615Z	[34mINFO[0m	eth1/sync.go:165	history sync event was handled successfully	{"app": "SSV-Node:v0.2.1-rc.5-137-g34029c4c", "component": "operatorNode", "event": "OperatorRegistration", "block": 7590562, "txHash": "0x0b9bfc51a59964179842c5b327865f862f4737f5749de47dc4c732a38102f56d", "operatorName": "21vtest0914", "operatorId": 551, "operatorPubKey": "LS0tLS1CRUdJTiBSU0EgUFVCTElDIEtFWS0tLS0tCk1JSUJJakFOQmdrcWhraUc5dzBCQVFFRkFBT0NBUThBTUlJQkNnS0NBUUVBNG9hd3QrNWZaSDk2cTAxdlpQbmgKSUFWRG95MWJ4NW5LVHQ0M2lGUHVlcHZBWStPNzUzK3BiMEtadkEwSVpuTXNvdy9oSTRuNkYzZkQvWWx2bGh0WQovRXZiR3gxL1c5UU1QWXNrUDFGazgyQ0tkOFVRczY4K2NEQkVFekxoZ1hyVldQV2R2ZU9QbE4yekg3bXZ5NnBHClFwMi9XK2ZHSWhUUlRkb21nUEtPTE9CN1dFdmFMU1FvQWpndWxLZC8vZCtkVVhlRzFqelg5Z1RlRG5UYnBKL1MKMFU2bWJJbXQ5c3FYYlZ3MXJFcUFTb0trNS80bDZyS21nL29PREYwbXIzR2RQMDlBN1F2c0FabkdxWEhUQmZtLwpFSXgwYU8yY0cycnJ6LzUwSlZtUXdKamxsbkhoL1dOZFg0MTFhSTFBSnlDbDg1K0k1anlYMW9paE1BSjhiRGRuCk5RSURBUUFCCi0tLS0tRU5EIFJTQSBQVUJMSUMgS0VZLS0tLS0K", "ownerAddress": "0x912DC187938F81b6090432433437Af3d072a660A"}
2022-09-14T13:48:06.298632Z	[34mINFO[0m	operator/node.go:163	manage to sync contract events	{"app": "SSV-Node:v0.2.1-rc.5-137-g34029c4c", "component": "operatorNode"}
2022-09-14T13:48:06.643518Z	[34mINFO[0m	operator/node.go:172	ETH1 sync history stats	{"app": "SSV-Node:v0.2.1-rc.5-137-g34029c4c", "component": "operatorNode", "validators count": 2308, "operators count": 551}
2022-09-14T13:48:06.643566Z	[35mDEBUG[0m	goeth/goETH.go:180	streaming smart contract events	{"app": "SSV-Node:v0.2.1-rc.5-137-g34029c4c", "component": "eth1GoETH", "address": "0xb9e155e65B5c4D66df28Da8E9a0957f06F11Bc04"}
2022-09-14T13:48:06.858910Z	[35mDEBUG[0m	goeth/goETH.go:211	subscribed to results of the streaming filter query	{"app": "SSV-Node:v0.2.1-rc.5-137-g34029c4c", "component": "eth1GoETH", "address": "0xb9e155e65B5c4D66df28Da8E9a0957f06F11Bc04"}
2022-09-14T13:48:06.858951Z	[34mINFO[0m	p2p/p2p_setup.go:56	configuring p2p network service	{"app": "SSV-Node:v0.2.1-rc.5-137-g34029c4c", "who": "p2pNetwork"}
2022-09-14T13:48:06.873241Z	[34mINFO[0m	p2p/p2p_setup.go:71	p2p services were configured	{"app": "SSV-Node:v0.2.1-rc.5-137-g34029c4c", "who": "p2pNetwork", "selfPeer": "16Uiu2HAmEG6Wf6BcKh6vFaEzZZkHnt4egy7j5MUGZwbJavcNAiWf"}
2022-09-14T13:48:06.873287Z	[34mINFO[0m	p2p/p2p.go:129	starting p2p network service	{"app": "SSV-Node:v0.2.1-rc.5-137-g34029c4c", "who": "p2pNetwork", "selfPeer": "16Uiu2HAmEG6Wf6BcKh6vFaEzZZkHnt4egy7j5MUGZwbJavcNAiWf"}
2022-09-14T13:48:07.554693Z	[34mINFO[0m	operator/node.go:126	All required services are ready. OPERATOR SUCCESSFULLY CONFIGURED AND NOW RUNNING!	{"app": "SSV-Node:v0.2.1-rc.5-137-g34029c4c", "component": "operatorNode"}
2022-09-14T13:48:07.913242Z	[34mINFO[0m	validator/controller.go:357	starting validators setup...	{"app": "SSV-Node:v0.2.1-rc.5-137-g34029c4c", "component": "validatorsController", "shares count": 1}
2022-09-14T13:48:07.913362Z	[35mDEBUG[0m	msgqueue/queue.go:63	queue configuration	{"app": "SSV-Node:v0.2.1-rc.5-137-g34029c4c", "pubKey": "855589217256062059957bc5535e027d751683d756f593827fb1575e714a24f682e80891b73021c06347ce604c2e1271", "node_id": 2, "role": "ATTESTER", "read mode": false, "who": "msg_q", "indexers": 3}
2022-09-14T13:48:07.913406Z	[35mDEBUG[0m	validator/validator.go:85	new validator instance was created	{"app": "SSV-Node:v0.2.1-rc.5-137-g34029c4c", "pubKey": "855589217256062059957bc5535e027d751683d756f593827fb1575e714a24f682e80891b73021c06347ce604c2e1271", "node_id": 2, "operators ids": ["9d5df9e77cc1fa1aab54348efff6d06256bc7c01c4dd384c88748803d56f2292", "2ea88c262d0d826dc51a66cdae2435355d9dc751e251cf8752043f6a19734f50", "99442c4fe6f8fc11a3a8878099bf1bdf48c627d08fff31ba7ef49df1197768cd", "29ad5e618d03708749be5d355494298234f65ac531717a00059e6f1e04c498bc"]}
2022-09-14T13:48:07.913426Z	[35mDEBUG[0m	validator/validators_map.go:113	setup validator done	{"app": "SSV-Node:v0.2.1-rc.5-137-g34029c4c", "component": "validatorsMap", "pubKey": "855589217256062059957bc5535e027d751683d756f593827fb1575e714a24f682e80891b73021c06347ce604c2e1271", "nodeID": 2, "committee": ["[IbftId=4, PK=ad309467f18fd62bc2151ce6c371c259badb8b116e04b57a8f2fd576dfd8a161d664b21108a1cac8ee382481e8055ae1]", "[IbftId=1, PK=95da1ead09ca0a48ea42444cce60435a162a911738d62f82c2175cce220bd9c8dac6efd0c28ebf826ea264148f3415f6]", "[IbftId=2, PK=aefd92667e3c891eeb8dbee3f894fbc938095f0a138bed4ad394aed29df0bf7c0244735b0382f5d7d2564699f0735850]", "[IbftId=3, PK=8eb7f73b13a876079b5b024722d44844e11b26ed940f9f2f2c35b41cf2cd9ef7a5978669b657ff9e47a4b12d363fdd48]"]}
2022-09-14T13:48:07.913496Z	[35mDEBUG[0m	validator/metrics.go:39	validator is ready	{"app": "SSV-Node:v0.2.1-rc.5-137-g34029c4c", "component": "validatorsController", "pubKey": "855589217256062059957bc5535e027d751683d756f593827fb1575e714a24f682e80891b73021c06347ce604c2e1271", "who": "ReportValidatorStatus", "metadata": {"balance":31509363190,"status":"Active_ongoing","index":284599}}
2022-09-14T13:48:07.913546Z	[34mINFO[0m	validator/controller.go:379	setup validators done	{"app": "SSV-Node:v0.2.1-rc.5-137-g34029c4c", "component": "validatorsController", "map size": 1, "failures": 0, "missing metadata": 0, "shares count": 1, "started": 1}
2022-09-14T13:48:07.913583Z	[35mDEBUG[0m	duties/controller.go:89	warming up indices	{"app": "SSV-Node:v0.2.1-rc.5-137-g34029c4c", "count": 1}
2022-09-14T13:48:07.913629Z	[34mINFO[0m	controller/controller.go:183	start qbft ctrl handler init	{"app": "SSV-Node:v0.2.1-rc.5-137-g34029c4c", "pubKey": "855589217256062059957bc5535e027d751683d756f593827fb1575e714a24f682e80891b73021c06347ce604c2e1271", "node_id": 2, "role": "ATTESTER", "read mode": false}
2022-09-14T13:48:07.913833Z	[35mDEBUG[0m	controller/controller.go:452	set new ctrl height	{"app": "SSV-Node:v0.2.1-rc.5-137-g34029c4c", "pubKey": "855589217256062059957bc5535e027d751683d756f593827fb1575e714a24f682e80891b73021c06347ce604c2e1271", "node_id": 2, "role": "ATTESTER", "read mode": false, "current height": 0, "new height": 77}
2022-09-14T13:48:07.913978Z	[35mDEBUG[0m	msgqueue/queue.go:122	message added to queue	{"app": "SSV-Node:v0.2.1-rc.5-137-g34029c4c", "pubKey": "855589217256062059957bc5535e027d751683d756f593827fb1575e714a24f682e80891b73021c06347ce604c2e1271", "node_id": 2, "role": "ATTESTER", "read mode": false, "who": "msg_q", "indices": [{"Name":"signed_index","Mt":0,"ID":"855589217256062059957bc5535e027d751683d756f593827fb1575e714a24f682e80891b73021c06347ce604c2e127100000000","H":78,"S":0,"Cmt":3}]}
2022-09-14T13:48:07.914052Z	[35mDEBUG[0m	msgqueue/queue.go:122	message added to queue	{"app": "SSV-Node:v0.2.1-rc.5-137-g34029c4c", "pubKey": "855589217256062059957bc5535e027d751683d756f593827fb1575e714a24f682e80891b73021c06347ce604c2e1271", "node_id": 2, "role": "ATTESTER", "read mode": false, "who": "msg_q", "indices": [{"Name":"signed_index","Mt":0,"ID":"855589217256062059957bc5535e027d751683d756f593827fb1575e714a24f682e80891b73021c06347ce604c2e127100000000","H":77,"S":0,"Cmt":3}]}
